Year,Reference area,Sex,Degree of urbanisation,Time period details,Value
2009,Pailin,Female,,2019-2020,72.8
2010,Pailin,Female,,2019-2020,74.6
2011,Pailin,Female,,2019-2020,63.5
2012,Pailin,Female,,2019-2020,64.9
2013,Pailin,Female,,2019-2020,65.3
2014,Pailin,Female,,2019-2020,67.3
2015,Pailin,Female,,2019-2020,63.6
2016,Pailin,Female,,2019-2020,66.0
2017,Pailin,Female,,2019-2020,62.1
2018,Pailin,Female,,2019-2020,62.7
2019,Pailin,Female,,2019-2020,60.2
2009,Pailin,Male,,2019-2020,72.6
2010,Pailin,Male,,2019-2020,76.3
2011,Pailin,Male,,2019-2020,60.0
2012,Pailin,Male,,2019-2020,65.4
2013,Pailin,Male,,2019-2020,67.3
2014,Pailin,Male,,2019-2020,64.4
2015,Pailin,Male,,2019-2020,58.1
2016,Pailin,Male,,2019-2020,53.7
2017,Pailin,Male,,2019-2020,52.0
2018,Pailin,Male,,2019-2020,52.5
2019,Pailin,Male,,2019-2020,56.9
2009,Pailin,,,2019-2020,72.7
2010,Pailin,,,2019-2020,75.5
2011,Pailin,,,2019-2020,61.7
2012,Pailin,,,2019-2020,65.2
2013,Pailin,,,2019-2020,66.3
2014,Pailin,,,2019-2020,65.8
2015,Pailin,,,2019-2020,60.8
2016,Pailin,,,2019-2020,59.6
2017,Pailin,,,2019-2020,56.9
2018,Pailin,,,2019-2020,57.4
2019,Pailin,,,2019-2020,58.5
2009,Phnom Penh,Female,,2019-2020,83.3
2010,Phnom Penh,Female,,2019-2020,80.0
2011,Phnom Penh,Female,,2019-2020,98.2
2012,Phnom Penh,Female,,2019-2020,85.2
2013,Phnom Penh,Female,,2019-2020,85.0
2014,Phnom Penh,Female,,2019-2020,83.4
2015,Phnom Penh,Female,,2019-2020,81.9
2016,Phnom Penh,Female,,2019-2020,80.4
2017,Phnom Penh,Female,,2019-2020,78.8
2018,Phnom Penh,Female,,2019-2020,84.7
2019,Phnom Penh,Female,,2019-2020,86.1
2009,Phnom Penh,Male,,2019-2020,81.6
2010,Phnom Penh,Male,,2019-2020,88.8
2011,Phnom Penh,Male,,2019-2020,95.7
2012,Phnom Penh,Male,,2019-2020,84.1
2013,Phnom Penh,Male,,2019-2020,81.1
2014,Phnom Penh,Male,,2019-2020,77.3
2015,Phnom Penh,Male,,2019-2020,75.2
2016,Phnom Penh,Male,,2019-2020,73.5
2017,Phnom Penh,Male,,2019-2020,70.9
2018,Phnom Penh,Male,,2019-2020,75.7
2019,Phnom Penh,Male,,2019-2020,77.5
2009,Phnom Penh,,,2019-2020,82.4
2010,Phnom Penh,,,2019-2020,84.3
2011,Phnom Penh,,,2019-2020,96.9
2012,Phnom Penh,,,2019-2020,84.6
2013,Phnom Penh,,,2019-2020,73.0
2014,Phnom Penh,,,2019-2020,80.2
2015,Phnom Penh,,,2019-2020,78.4
2016,Phnom Penh,,,2019-2020,76.8
2017,Phnom Penh,,,2019-2020,74.6
2018,Phnom Penh,,,2019-2020,79.9
2019,Phnom Penh,,,2019-2020,81.6
2009,Preah Sihanouk,Female,,2019-2020,70.4
2010,Preah Sihanouk,Female,,2019-2020,76.2
2011,Preah Sihanouk,Female,,2019-2020,80.1
2012,Preah Sihanouk,Female,,2019-2020,95.0
2013,Preah Sihanouk,Female,,2019-2020,70.7
2014,Preah Sihanouk,Female,,2019-2020,68.5
2015,Preah Sihanouk,Female,,2019-2020,72.7
2016,Preah Sihanouk,Female,,2019-2020,69.5
2017,Preah Sihanouk,Female,,2019-2020,71.4
2018,Preah Sihanouk,Female,,2019-2020,69.9
2019,Preah Sihanouk,Female,,2019-2020,68.8
2009,Preah Sihanouk,Male,,2019-2020,73.8
2010,Preah Sihanouk,Male,,2019-2020,79.7
2011,Preah Sihanouk,Male,,2019-2020,79.8
2012,Preah Sihanouk,Male,,2019-2020,52.8
2013,Preah Sihanouk,Male,,2019-2020,74.3
2014,Preah Sihanouk,Male,,2019-2020,64.2
2015,Preah Sihanouk,Male,,2019-2020,70.6
2016,Preah Sihanouk,Male,,2019-2020,67.4
2017,Preah Sihanouk,Male,,2019-2020,65.1
2018,Preah Sihanouk,Male,,2019-2020,65.9
2019,Preah Sihanouk,Male,,2019-2020,62.9
2009,Preah Sihanouk,,,2019-2020,72.2
2010,Preah Sihanouk,,,2019-2020,78.0
2011,Preah Sihanouk,,,2019-2020,80.0
2012,Preah Sihanouk,,,2019-2020,73.3
2013,Preah Sihanouk,,,2019-2020,72.6
2014,Preah Sihanouk,,,2019-2020,66.3
2015,Preah Sihanouk,,,2019-2020,71.6
2016,Preah Sihanouk,,,2019-2020,68.4
2017,Preah Sihanouk,,,2019-2020,68.2
2018,Preah Sihanouk,,,2019-2020,67.9
2019,Preah Sihanouk,,,2019-2020,65.8
2009,Preah Vihear,Female,,2019-2020,77.3
2010,Preah Vihear,Female,,2019-2020,78.7
2011,Preah Vihear,Female,,2019-2020,89.3
2012,Preah Vihear,Female,,2019-2020,77.5
2013,Preah Vihear,Female,,2019-2020,84.9
2014,Preah Vihear,Female,,2019-2020,91.5
2015,Preah Vihear,Female,,2019-2020,97.7
2016,Preah Vihear,Female,,2019-2020,93.1
2017,Preah Vihear,Female,,2019-2020,96.7
2018,Preah Vihear,Female,,2019-2020,96.4
2019,Preah Vihear,Female,,2019-2020,94.8
2009,Preah Vihear,Male,,2019-2020,69.8
2010,Preah Vihear,Male,,2019-2020,98.0
2011,Preah Vihear,Male,,2019-2020,82.8
2012,Preah Vihear,Male,,2019-2020,84.5
2013,Preah Vihear,Male,,2019-2020,74.5
2014,Preah Vihear,Male,,2019-2020,75.5
2015,Preah Vihear,Male,,2019-2020,77.2
2016,Preah Vihear,Male,,2019-2020,79.3
2017,Preah Vihear,Male,,2019-2020,77.5
2018,Preah Vihear,Male,,2019-2020,82.7
2019,Preah Vihear,Male,,2019-2020,80.4
2009,Preah Vihear,,,2019-2020,73.5
2010,Preah Vihear,,,2019-2020,86.9
2011,Preah Vihear,,,2019-2020,86.0
2012,Preah Vihear,,,2019-2020,81.0
2013,Preah Vihear,,,2019-2020,79.6
2014,Preah Vihear,,,2019-2020,83.4
2015,Preah Vihear,,,2019-2020,87.2
2016,Preah Vihear,,,2019-2020,86.0
2017,Preah Vihear,,,2019-2020,86.9
2018,Preah Vihear,,,2019-2020,89.4
2019,Preah Vihear,,,2019-2020,87.4
2009,Prey Veng,Female,,2019-2020,87.5
2010,Prey Veng,Female,,2019-2020,82.1
2011,Prey Veng,Female,,2019-2020,94.5
2012,Prey Veng,Female,,2019-2020,93.0
2013,Prey Veng,Female,,2019-2020,93.3
2014,Prey Veng,Female,,2019-2020,94.2
2015,Prey Veng,Female,,2019-2020,90.2
2016,Prey Veng,Female,,2019-2020,88.7
2017,Prey Veng,Female,,2019-2020,88.3
2018,Prey Veng,Female,,2019-2020,90.0
2019,Prey Veng,Female,,2019-2020,94.8
2009,Prey Veng,Male,,2019-2020,87.9
2010,Prey Veng,Male,,2019-2020,88.1
2011,Prey Veng,Male,,2019-2020,97.4
2012,Prey Veng,Male,,2019-2020,94.2
2013,Prey Veng,Male,,2019-2020,96.1
2014,Prey Veng,Male,,2019-2020,90.4
2015,Prey Veng,Male,,2019-2020,88.0
2016,Prey Veng,Male,,2019-2020,88.1
2017,Prey Veng,Male,,2019-2020,84.7
2018,Prey Veng,Male,,2019-2020,87.8
2019,Prey Veng,Male,,2019-2020,91.3
2009,Prey Veng,,,2019-2020,87.7
2010,Prey Veng,,,2019-2020,85.2
2011,Prey Veng,,,2019-2020,96.0
2012,Prey Veng,,,2019-2020,93.6
2013,Prey Veng,,,2019-2020,94.7
2014,Prey Veng,,,2019-2020,92.2
2015,Prey Veng,,,2019-2020,89.0
2016,Prey Veng,,,2019-2020,88.4
2017,Prey Veng,,,2019-2020,86.4
2018,Prey Veng,,,2019-2020,88.9
2019,Prey Veng,,,2019-2020,93.0
2009,Pursat,Female,,2019-2020,76.4
2010,Pursat,Female,,2019-2020,83.7
2011,Pursat,Female,,2019-2020,81.9
2012,Pursat,Female,,2019-2020,80.0
2013,Pursat,Female,,2019-2020,83.7
2014,Pursat,Female,,2019-2020,84.4
2015,Pursat,Female,,2019-2020,82.2
2016,Pursat,Female,,2019-2020,84.0
2017,Pursat,Female,,2019-2020,87.6
2018,Pursat,Female,,2019-2020,91.2
2019,Pursat,Female,,2019-2020,91.1
2009,Pursat,Male,,2019-2020,72.8
2010,Pursat,Male,,2019-2020,84.6
2011,Pursat,Male,,2019-2020,76.4
2012,Pursat,Male,,2019-2020,82.4
2013,Pursat,Male,,2019-2020,81.9
2014,Pursat,Male,,2019-2020,75.8
2015,Pursat,Male,,2019-2020,72.4
2016,Pursat,Male,,2019-2020,74.4
2017,Pursat,Male,,2019-2020,76.0
2018,Pursat,Male,,2019-2020,83.0
2019,Pursat,Male,,2019-2020,78.3
2009,Pursat,,,2019-2020,74.6
2010,Pursat,,,2019-2020,84.2
2011,Pursat,,,2019-2020,79.1
2012,Pursat,,,2019-2020,81.2
2013,Pursat,,,2019-2020,82.8
2014,Pursat,,,2019-2020,80.0
2015,Pursat,,,2019-2020,77.1
2016,Pursat,,,2019-2020,79.0
2017,Pursat,,,2019-2020,81.6
2018,Pursat,,,2019-2020,86.9
2019,Pursat,,,2019-2020,84.5
2009,Ratanak Kiri,Female,,2019-2020,37.2
2010,Ratanak Kiri,Female,,2019-2020,38.1
2011,Ratanak Kiri,Female,,2019-2020,50.4
2012,Ratanak Kiri,Female,,2019-2020,52.2
2013,Ratanak Kiri,Female,,2019-2020,63.9
2014,Ratanak Kiri,Female,,2019-2020,61.2
2015,Ratanak Kiri,Female,,2019-2020,64.2
2016,Ratanak Kiri,Female,,2019-2020,71.9
2017,Ratanak Kiri,Female,,2019-2020,78.6
2018,Ratanak Kiri,Female,,2019-2020,86.7
2019,Ratanak Kiri,Female,,2019-2020,94.0
2009,Ratanak Kiri,Male,,2019-2020,47.9
2010,Ratanak Kiri,Male,,2019-2020,55.8
2011,Ratanak Kiri,Male,,2019-2020,64.5
2012,Ratanak Kiri,Male,,2019-2020,67.1
2013,Ratanak Kiri,Male,,2019-2020,71.0
2014,Ratanak Kiri,Male,,2019-2020,63.3
2015,Ratanak Kiri,Male,,2019-2020,65.3
2016,Ratanak Kiri,Male,,2019-2020,68.1
2017,Ratanak Kiri,Male,,2019-2020,79.8
2018,Ratanak Kiri,Male,,2019-2020,79.7
2019,Ratanak Kiri,Male,,2019-2020,85.7
2009,Ratanak Kiri,,,2019-2020,42.8
2010,Ratanak Kiri,,,2019-2020,46.7
2011,Ratanak Kiri,,,2019-2020,57.6
2012,Ratanak Kiri,,,2019-2020,59.9
2013,Ratanak Kiri,,,2019-2020,67.6
2014,Ratanak Kiri,,,2019-2020,62.3
2015,Ratanak Kiri,,,2019-2020,64.8
2016,Ratanak Kiri,,,2019-2020,70.0
2017,Ratanak Kiri,,,2019-2020,79.2
2018,Ratanak Kiri,,,2019-2020,83.1
2019,Ratanak Kiri,,,2019-2020,89.7
2009,Siemreap,Female,,2019-2020,84.4
2010,Siemreap,Female,,2019-2020,93.0
2011,Siemreap,Female,,2019-2020,95.2
2012,Siemreap,Female,,2019-2020,92.0
2013,Siemreap,Female,,2019-2020,99.4
2014,Siemreap,Female,,2019-2020,88.3
2015,Siemreap,Female,,2019-2020,86.5
2016,Siemreap,Female,,2019-2020,87.6
2017,Siemreap,Female,,2019-2020,86.8
2018,Siemreap,Female,,2019-2020,89.9
2019,Siemreap,Female,,2019-2020,95.0
2009,Siemreap,Male,,2019-2020,79.2
2010,Siemreap,Male,,2019-2020,84.9
2011,Siemreap,Male,,2019-2020,87.7
2012,Siemreap,Male,,2019-2020,85.0
2013,Siemreap,Male,,2019-2020,86.2
2014,Siemreap,Male,,2019-2020,75.3
2015,Siemreap,Male,,2019-2020,73.3
2016,Siemreap,Male,,2019-2020,74.5
2017,Siemreap,Male,,2019-2020,75.6
2018,Siemreap,Male,,2019-2020,77.8
2019,Siemreap,Male,,2019-2020,81.3
2009,Siemreap,,,2019-2020,81.7
2010,Siemreap,,,2019-2020,88.9
2011,Siemreap,,,2019-2020,91.3
2012,Siemreap,,,2019-2020,88.4
2013,Siemreap,,,2019-2020,92.6
2014,Siemreap,,,2019-2020,81.6
2015,Siemreap,,,2019-2020,79.7
2016,Siemreap,,,2019-2020,80.8
2017,Siemreap,,,2019-2020,81.0
2018,Siemreap,,,2019-2020,83.6
2019,Siemreap,,,2019-2020,87.9
2009,Stung Treng,Female,,2019-2020,72.7
2010,Stung Treng,Female,,2019-2020,77.1
2011,Stung Treng,Female,,2019-2020,62.5
2012,Stung Treng,Female,,2019-2020,63.0
2013,Stung Treng,Female,,2019-2020,63.0
2014,Stung Treng,Female,,2019-2020,69.7
2015,Stung Treng,Female,,2019-2020,67.9
2016,Stung Treng,Female,,2019-2020,78.0
2017,Stung Treng,Female,,2019-2020,76.4
2018,Stung Treng,Female,,2019-2020,80.8
2019,Stung Treng,Female,,2019-2020,88.3
2009,Stung Treng,Male,,2019-2020,58.8
2010,Stung Treng,Male,,2019-2020,70.3
2011,Stung Treng,Male,,2019-2020,60.4
2012,Stung Treng,Male,,2019-2020,57.3
2013,Stung Treng,Male,,2019-2020,56.2
2014,Stung Treng,Male,,2019-2020,65.5
2015,Stung Treng,Male,,2019-2020,60.3
2016,Stung Treng,Male,,2019-2020,65.3
2017,Stung Treng,Male,,2019-2020,62.8
2018,Stung Treng,Male,,2019-2020,72.7
2019,Stung Treng,Male,,2019-2020,80.1
2009,Stung Treng,,,2019-2020,65.7
2010,Stung Treng,,,2019-2020,73.7
2011,Stung Treng,,,2019-2020,61.4
2012,Stung Treng,,,2019-2020,60.1
2013,Stung Treng,,,2019-2020,59.6
2014,Stung Treng,,,2019-2020,67.5
2015,Stung Treng,,,2019-2020,64.0
2016,Stung Treng,,,2019-2020,71.5
2017,Stung Treng,,,2019-2020,69.5
2018,Stung Treng,,,2019-2020,76.6
2019,Stung Treng,,,2019-2020,84.1
2009,Svay Rieng,Female,,2019-2020,96.9
2010,Svay Rieng,Female,,2019-2020,95.3
2011,Svay Rieng,Female,,2019-2020,96.2
2012,Svay Rieng,Female,,2019-2020,96.0
2013,Svay Rieng,Female,,2019-2020,99.3
2014,Svay Rieng,Female,,2019-2020,94.4
2015,Svay Rieng,Female,,2019-2020,95.4
2016,Svay Rieng,Female,,2019-2020,91.8
2017,Svay Rieng,Female,,2019-2020,95.0
2018,Svay Rieng,Female,,2019-2020,96.3
2019,Svay Rieng,Female,,2019-2020,100.8
2009,Svay Rieng,Male,,2019-2020,98.7
2010,Svay Rieng,Male,,2019-2020,93.6
2011,Svay Rieng,Male,,2019-2020,104.4
2012,Svay Rieng,Male,,2019-2020,109.2
2013,Svay Rieng,Male,,2019-2020,101.2
2014,Svay Rieng,Male,,2019-2020,99.8
2015,Svay Rieng,Male,,2019-2020,94.5
2016,Svay Rieng,Male,,2019-2020,90.2
2017,Svay Rieng,Male,,2019-2020,89.3
2018,Svay Rieng,Male,,2019-2020,92.8
2019,Svay Rieng,Male,,2019-2020,95.2
2009,Svay Rieng,,,2019-2020,97.8
2010,Svay Rieng,,,2019-2020,94.4
2011,Svay Rieng,,,2019-2020,100.3
2012,Svay Rieng,,,2019-2020,102.7
2013,Svay Rieng,,,2019-2020,100.3
2014,Svay Rieng,,,2019-2020,97.1
2015,Svay Rieng,,,2019-2020,94.9
2016,Svay Rieng,,,2019-2020,91.0
2017,Svay Rieng,,,2019-2020,92.1
2018,Svay Rieng,,,2019-2020,94.5
2019,Svay Rieng,,,2019-2020,98.0
2009,Takeo,Female,,2019-2020,94.6
2010,Takeo,Female,,2019-2020,89.0
2011,Takeo,Female,,2019-2020,101.1
2012,Takeo,Female,,2019-2020,98.4
2013,Takeo,Female,,2019-2020,99.3
2014,Takeo,Female,,2019-2020,97.6
2015,Takeo,Female,,2019-2020,91.4
2016,Takeo,Female,,2019-2020,86.5
2017,Takeo,Female,,2019-2020,83.4
2018,Takeo,Female,,2019-2020,85.8
2019,Takeo,Female,,2019-2020,84.1
2009,Takeo,Male,,2019-2020,96.8
2010,Takeo,Male,,2019-2020,95.0
2011,Takeo,Male,,2019-2020,105.3
2012,Takeo,Male,,2019-2020,110.9
2013,Takeo,Male,,2019-2020,101.2
2014,Takeo,Male,,2019-2020,96.9
2015,Takeo,Male,,2019-2020,90.6
2016,Takeo,Male,,2019-2020,86.7
2017,Takeo,Male,,2019-2020,81.0
2018,Takeo,Male,,2019-2020,81.9
2019,Takeo,Male,,2019-2020,76.9
2009,Takeo,,,2019-2020,95.8
2010,Takeo,,,2019-2020,92.1
2011,Takeo,,,2019-2020,103.2
2012,Takeo,,,2019-2020,104.7
2013,Takeo,,,2019-2020,100.3
2014,Takeo,,,2019-2020,97.2
2015,Takeo,,,2019-2020,91.0
2016,Takeo,,,2019-2020,86.6
2017,Takeo,,,2019-2020,82.2
2018,Takeo,,,2019-2020,83.8
2019,Takeo,,,2019-2020,80.4
2014,Tboung Khmum,Female,,2019-2020,88.6
2015,Tboung Khmum,Female,,2019-2020,87.6
2016,Tboung Khmum,Female,,2019-2020,90.4
2017,Tboung Khmum,Female,,2019-2020,86.3
2018,Tboung Khmum,Female,,2019-2020,91.0
2019,Tboung Khmum,Female,,2019-2020,90.2
2014,Tboung Khmum,Male,,2019-2020,82.5
2015,Tboung Khmum,Male,,2019-2020,78.8
2016,Tboung Khmum,Male,,2019-2020,80.2
2017,Tboung Khmum,Male,,2019-2020,80.0
2018,Tboung Khmum,Male,,2019-2020,78.8
2019,Tboung Khmum,Male,,2019-2020,81.2
2014,Tboung Khmum,,,2019-2020,85.5
2015,Tboung Khmum,,,2019-2020,83.1
2016,Tboung Khmum,,,2019-2020,85.1
2017,Tboung Khmum,,,2019-2020,83.1
2018,Tboung Khmum,,,2019-2020,84.7
2019,Tboung Khmum,,,2019-2020,85.5
