Year,REF_AREA,SEX,URBANISATION,TIME_DETAIL,Value
2011,KH13,,,2019-2020,86.0
2012,KH13,,,2019-2020,81.0
2013,KH13,,,2019-2020,79.6
2014,KH13,,,2019-2020,83.4
2015,KH13,,,2019-2020,87.2
2016,KH13,,,2019-2020,86.0
2017,KH13,,,2019-2020,86.9
2018,KH13,,,2019-2020,89.4
2019,KH13,,,2019-2020,87.4
2009,KH14,F,,2019-2020,87.5
2010,KH14,F,,2019-2020,82.1
2011,KH14,F,,2019-2020,94.5
2012,KH14,F,,2019-2020,93.0
2013,KH14,F,,2019-2020,93.3
2014,KH14,F,,2019-2020,94.2
2015,KH14,F,,2019-2020,90.2
2016,KH14,F,,2019-2020,88.7
2017,KH14,F,,2019-2020,88.3
2018,KH14,F,,2019-2020,90.0
2019,KH14,F,,2019-2020,94.8
2009,KH14,M,,2019-2020,87.9
2010,KH14,M,,2019-2020,88.1
2011,KH14,M,,2019-2020,97.4
2012,KH14,M,,2019-2020,94.2
2013,KH14,M,,2019-2020,96.1
2014,KH14,M,,2019-2020,90.4
2015,KH14,M,,2019-2020,88.0
2016,KH14,M,,2019-2020,88.1
2017,KH14,M,,2019-2020,84.7
2018,KH14,M,,2019-2020,87.8
2019,KH14,M,,2019-2020,91.3
2009,KH14,,,2019-2020,87.7
2010,KH14,,,2019-2020,85.2
2011,KH14,,,2019-2020,96.0
2012,KH14,,,2019-2020,93.6
2013,KH14,,,2019-2020,94.7
2014,KH14,,,2019-2020,92.2
2015,KH14,,,2019-2020,89.0
2016,KH14,,,2019-2020,88.4
2017,KH14,,,2019-2020,86.4
2018,KH14,,,2019-2020,88.9
2019,KH14,,,2019-2020,93.0
2009,KH15,F,,2019-2020,76.4
2010,KH15,F,,2019-2020,83.7
2011,KH15,F,,2019-2020,81.9
2012,KH15,F,,2019-2020,80.0
2013,KH15,F,,2019-2020,83.7
2014,KH15,F,,2019-2020,84.4
2015,KH15,F,,2019-2020,82.2
2016,KH15,F,,2019-2020,84.0
2017,KH15,F,,2019-2020,87.6
2018,KH15,F,,2019-2020,91.2
2019,KH15,F,,2019-2020,91.1
2009,KH15,M,,2019-2020,72.8
2010,KH15,M,,2019-2020,84.6
2011,KH15,M,,2019-2020,76.4
2012,KH15,M,,2019-2020,82.4
2013,KH15,M,,2019-2020,81.9
2014,KH15,M,,2019-2020,75.8
2015,KH15,M,,2019-2020,72.4
2016,KH15,M,,2019-2020,74.4
2017,KH15,M,,2019-2020,76.0
2018,KH15,M,,2019-2020,83.0
2019,KH15,M,,2019-2020,78.3
2009,KH15,,,2019-2020,74.6
2010,KH15,,,2019-2020,84.2
2011,KH15,,,2019-2020,79.1
2012,KH15,,,2019-2020,81.2
2013,KH15,,,2019-2020,82.8
2014,KH15,,,2019-2020,80.0
2015,KH15,,,2019-2020,77.1
2016,KH15,,,2019-2020,79.0
2017,KH15,,,2019-2020,81.6
2018,KH15,,,2019-2020,86.9
2019,KH15,,,2019-2020,84.5
2009,KH16,F,,2019-2020,37.2
2010,KH16,F,,2019-2020,38.1
2011,KH16,F,,2019-2020,50.4
2012,KH16,F,,2019-2020,52.2
2013,KH16,F,,2019-2020,63.9
2014,KH16,F,,2019-2020,61.2
2015,KH16,F,,2019-2020,64.2
2016,KH16,F,,2019-2020,71.9
2017,KH16,F,,2019-2020,78.6
2018,KH16,F,,2019-2020,86.7
2019,KH16,F,,2019-2020,94.0
2009,KH16,M,,2019-2020,47.9
2010,KH16,M,,2019-2020,55.8
2011,KH16,M,,2019-2020,64.5
2012,KH16,M,,2019-2020,67.1
2013,KH16,M,,2019-2020,71.0
2014,KH16,M,,2019-2020,63.3
2015,KH16,M,,2019-2020,65.3
2016,KH16,M,,2019-2020,68.1
2017,KH16,M,,2019-2020,79.8
2018,KH16,M,,2019-2020,79.7
2019,KH16,M,,2019-2020,85.7
2009,KH16,,,2019-2020,42.8
2010,KH16,,,2019-2020,46.7
2011,KH16,,,2019-2020,57.6
2012,KH16,,,2019-2020,59.9
2013,KH16,,,2019-2020,67.6
2014,KH16,,,2019-2020,62.3
2015,KH16,,,2019-2020,64.8
2016,KH16,,,2019-2020,70.0
2017,KH16,,,2019-2020,79.2
2018,KH16,,,2019-2020,83.1
2019,KH16,,,2019-2020,89.7
2009,KH17,F,,2019-2020,84.4
2010,KH17,F,,2019-2020,93.0
2011,KH17,F,,2019-2020,95.2
2012,KH17,F,,2019-2020,92.0
2013,KH17,F,,2019-2020,99.4
2014,KH17,F,,2019-2020,88.3
2015,KH17,F,,2019-2020,86.5
2016,KH17,F,,2019-2020,87.6
2017,KH17,F,,2019-2020,86.8
2018,KH17,F,,2019-2020,89.9
2019,KH17,F,,2019-2020,95.0
2009,KH17,M,,2019-2020,79.2
2010,KH17,M,,2019-2020,84.9
2011,KH17,M,,2019-2020,87.7
2012,KH17,M,,2019-2020,85.0
2013,KH17,M,,2019-2020,86.2
2014,KH17,M,,2019-2020,75.3
2015,KH17,M,,2019-2020,73.3
2016,KH17,M,,2019-2020,74.5
2017,KH17,M,,2019-2020,75.6
2018,KH17,M,,2019-2020,77.8
2019,KH17,M,,2019-2020,81.3
2009,KH17,,,2019-2020,81.7
2010,KH17,,,2019-2020,88.9
2011,KH17,,,2019-2020,91.3
2012,KH17,,,2019-2020,88.4
2013,KH17,,,2019-2020,92.6
2014,KH17,,,2019-2020,81.6
2015,KH17,,,2019-2020,79.7
2016,KH17,,,2019-2020,80.8
2017,KH17,,,2019-2020,81.0
2018,KH17,,,2019-2020,83.6
2019,KH17,,,2019-2020,87.9
2009,KH19,F,,2019-2020,72.7
2010,KH19,F,,2019-2020,77.1
2011,KH19,F,,2019-2020,62.5
2012,KH19,F,,2019-2020,63.0
2013,KH19,F,,2019-2020,63.0
2014,KH19,F,,2019-2020,69.7
2015,KH19,F,,2019-2020,67.9
2016,KH19,F,,2019-2020,78.0
2017,KH19,F,,2019-2020,76.4
2018,KH19,F,,2019-2020,80.8
2019,KH19,F,,2019-2020,88.3
2009,KH19,M,,2019-2020,58.8
2010,KH19,M,,2019-2020,70.3
2011,KH19,M,,2019-2020,60.4
2012,KH19,M,,2019-2020,57.3
2013,KH19,M,,2019-2020,56.2
2014,KH19,M,,2019-2020,65.5
2015,KH19,M,,2019-2020,60.3
2016,KH19,M,,2019-2020,65.3
2017,KH19,M,,2019-2020,62.8
2018,KH19,M,,2019-2020,72.7
2019,KH19,M,,2019-2020,80.1
2009,KH19,,,2019-2020,65.7
2010,KH19,,,2019-2020,73.7
2011,KH19,,,2019-2020,61.4
2012,KH19,,,2019-2020,60.1
2013,KH19,,,2019-2020,59.6
2014,KH19,,,2019-2020,67.5
2015,KH19,,,2019-2020,64.0
2016,KH19,,,2019-2020,71.5
2017,KH19,,,2019-2020,69.5
2018,KH19,,,2019-2020,76.6
2019,KH19,,,2019-2020,84.1
2009,KH20,F,,2019-2020,96.9
2010,KH20,F,,2019-2020,95.3
2011,KH20,F,,2019-2020,96.2
2012,KH20,F,,2019-2020,96.0
2013,KH20,F,,2019-2020,99.3
2014,KH20,F,,2019-2020,94.4
2015,KH20,F,,2019-2020,95.4
2016,KH20,F,,2019-2020,91.8
2017,KH20,F,,2019-2020,95.0
2018,KH20,F,,2019-2020,96.3
2019,KH20,F,,2019-2020,100.8
2009,KH20,M,,2019-2020,98.7
2010,KH20,M,,2019-2020,93.6
2011,KH20,M,,2019-2020,104.4
2012,KH20,M,,2019-2020,109.2
2013,KH20,M,,2019-2020,101.2
2014,KH20,M,,2019-2020,99.8
2015,KH20,M,,2019-2020,94.5
2016,KH20,M,,2019-2020,90.2
2017,KH20,M,,2019-2020,89.3
2018,KH20,M,,2019-2020,92.8
2019,KH20,M,,2019-2020,95.2
2009,KH20,,,2019-2020,97.8
2010,KH20,,,2019-2020,94.4
2011,KH20,,,2019-2020,100.3
2012,KH20,,,2019-2020,102.7
2013,KH20,,,2019-2020,100.3
2014,KH20,,,2019-2020,97.1
2015,KH20,,,2019-2020,94.9
2016,KH20,,,2019-2020,91.0
2017,KH20,,,2019-2020,92.1
2018,KH20,,,2019-2020,94.5
2019,KH20,,,2019-2020,98.0
2009,KH21,F,,2019-2020,94.6
2010,KH21,F,,2019-2020,89.0
2011,KH21,F,,2019-2020,101.1
2012,KH21,F,,2019-2020,98.4
2013,KH21,F,,2019-2020,99.3
2014,KH21,F,,2019-2020,97.6
2015,KH21,F,,2019-2020,91.4
2016,KH21,F,,2019-2020,86.5
2017,KH21,F,,2019-2020,83.4
2018,KH21,F,,2019-2020,85.8
2019,KH21,F,,2019-2020,84.1
2009,KH21,M,,2019-2020,96.8
2010,KH21,M,,2019-2020,95.0
2011,KH21,M,,2019-2020,105.3
2012,KH21,M,,2019-2020,110.9
2013,KH21,M,,2019-2020,101.2
2014,KH21,M,,2019-2020,96.9
2015,KH21,M,,2019-2020,90.6
2016,KH21,M,,2019-2020,86.7
2017,KH21,M,,2019-2020,81.0
2018,KH21,M,,2019-2020,81.9
2019,KH21,M,,2019-2020,76.9
2009,KH21,,,2019-2020,95.8
2010,KH21,,,2019-2020,92.1
2011,KH21,,,2019-2020,103.2
2012,KH21,,,2019-2020,104.7
2013,KH21,,,2019-2020,100.3
2014,KH21,,,2019-2020,97.2
2015,KH21,,,2019-2020,91.0
2016,KH21,,,2019-2020,86.6
2017,KH21,,,2019-2020,82.2
2018,KH21,,,2019-2020,83.8
2019,KH21,,,2019-2020,80.4
2014,KH25,F,,2019-2020,88.6
2015,KH25,F,,2019-2020,87.6
2016,KH25,F,,2019-2020,90.4
2017,KH25,F,,2019-2020,86.3
2018,KH25,F,,2019-2020,91.0
2019,KH25,F,,2019-2020,90.2
2014,KH25,M,,2019-2020,82.5
2015,KH25,M,,2019-2020,78.8
2016,KH25,M,,2019-2020,80.2
2017,KH25,M,,2019-2020,80.0
2018,KH25,M,,2019-2020,78.8
2019,KH25,M,,2019-2020,81.2
2014,KH25,,,2019-2020,85.5
2015,KH25,,,2019-2020,83.1
2016,KH25,,,2019-2020,85.1
2017,KH25,,,2019-2020,83.1
2018,KH25,,,2019-2020,84.7
2019,KH25,,,2019-2020,85.5
